CountryName,CountryCode,Region,RegionCode,Year2015,literacy,GNI,breastfeeding,water,sanitation,birth
Belize,BLZ,Latin America & Caribbean,LCN,16.5,_,4660,35,99,91,96
Bolivia,BOL,Latin America & Caribbean,LCN,38.4,94,2550,40,88,46,84
Brazil,BRA,Latin America & Caribbean,LCN,16.4,91,11690,26,98,81,98
Chile,CHL,Latin America & Caribbean,LCN,8.1,99,15230,_,99,99,100
Colombia,COL,Latin America & Caribbean,LCN,15.9,94,7560,33,91,80,99
Costa Rica,CRI,Latin America & Caribbean,LCN,9.7,97,9550,28,97,94,98
Cuba,CUB,Latin America & Caribbean,LCN,5.5,100,5890,17,94,93,100
Dominica,DMA,Latin America & Caribbean,LCN,21.2,_,6760,_,_,_,100
Dominican Republic,DOM,Latin America & Caribbean,LCN,30.9,90,5620,14,81,82,99
Ecuador,ECU,Latin America & Caribbean,LCN,21.6,93,5510,19,86,83,91
El Salvador,SLV,Latin America & Caribbean,LCN,16.8,85,3720,54,90,70,100
Grenada,GRD,Latin America & Caribbean,LCN,11.8,_,7460,_,97,98,99
Guatemala,GTM,Latin America & Caribbean,LCN,29.1,78,3340,46,94,80,52
Guyana,GUY,Latin America & Caribbean,LCN,39.4,85,3750,49,98,84,92
Haiti,HTI,Latin America & Caribbean,LCN,69,49,810,31,62,24,37
Honduras,HND,Latin America & Caribbean,LCN,20.4,85,2180,43,90,80,83
Jamaica,JAM,Latin America & Caribbean,LCN,15.7,87,5220,31,93,80,99
Mexico,MEX,Latin America & Caribbean,LCN,13.2,94,9940,14,95,85,96
Nicaragua,NIC,Latin America & Caribbean,LCN,22.1,78,1780,43,85,52,88
Panama,PAN,Latin America & Caribbean,LCN,17,94,10700,_,94,73,94
Paraguay,PRY,Latin America & Caribbean,LCN,20.5,94,4040,14,94,80,96
Peru,PER,Latin America & Caribbean,LCN,16.9,94,6390,54,87,73,87
St. Kitts and Nevis,KNA,Latin America & Caribbean,LCN,10.5,_,13460,_,98,_,100
St. Lucia,LCA,Latin America & Caribbean,LCN,14.3,_,7090,_,94,_,99
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,LCN,18.3,_,6580,_,95,_,99
Suriname,SUR,Latin America & Caribbean,LCN,21.3,95,9260,15,95,80,91
Trinidad and Tobago,TTO,Latin America & Caribbean,LCN,20.4,99,15760,22,_,92,100
Uruguay,URY,Latin America & Caribbean,LCN,10.1,98,15180,_,99,96,100
"Venezuela, RB",VEN,Latin America & Caribbean,LCN,14.9,96,12550,_,_,_,96
Algeria,DZA,Middle East & North Africa,MEA,25.5,73,5290,22,84,95,97
Bahrain,BHR,Middle East & North Africa,MEA,6.2,95,19560,_,100,99,100
Djibouti,DJI,Middle East & North Africa,MEA,65.3,_,b,18,92,61,87
"Egypt, Arab Rep.",EGY,Middle East & North Africa,MEA,24,74,3160,35,99,96,79
"Iran, Islamic Rep.",IRN,Middle East & North Africa,MEA,15.5,84,5780,51,96,89,96
Iraq,IRQ,Middle East & North Africa,MEA,32,79,6710,23,85,85,91
Israel,ISR,Middle East & North Africa,MEA,4,98,34120,_,100,100,_
Jordan,JOR,Middle East & North Africa,MEA,17.9,98,4950,13,96,98,100
Kuwait,KWT,Middle East & North Africa,MEA,8.6,96,44940,_,99,100,100
Lebanon,LBN,Middle East & North Africa,MEA,8.3,90,9870,15,100,_,98
Libya,LBY,Middle East & North Africa,MEA,13.4,90,c,_,_,97,100
Malta,MLT,Middle East & North Africa,MEA,6.4,92,19730,_,100,100,_
Morocco,MAR,Middle East & North Africa,MEA,27.6,67,3030,15,84,75,74
Oman,OMN,Middle East & North Africa,MEA,11.6,87,25250,73,93,97,99
Qatar,QAT,Middle East & North Africa,MEA,8,97,85550,_,100,100,100
Saudi Arabia,SAU,Middle East & North Africa,MEA,14.5,94,26200,_,97,100,97
