CountryName,region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
East Asia & Pacific (all income levels),East Asia & Pacific,,,,,,,,,,116.4108378,111.2043546,106.2275819,101.3774164,96.6747937,92.14520566,89.42317219,85.2567172,81.31301477,78.44123655,75.16889702,72.1336147,69.40806498,66.94565119,64.75095897,62.93461191,61.20967086,60.10496687,59.1509948,58.37734421,57.58045962,56.64822122,55.5442399,54.22203923,52.64449018,50.95022801,49.23506216,47.52042276,45.74734999,43.92132401,42.01469285,39.97291961,37.80118829,35.61119633,33.43943303,32.31757957,29.47317647,27.73088393,26.17024131,25.53006755,23.33077077,22.05591464,20.89264209,19.7855224,18.75625557,17.85470893,17.10728532
Europe & Central Asia (all income levels),Europe & Central Asia,,,,,,,,,,,54.04395023,52.46396969,52.128598,50.68779703,49.2576249,48.6094226,47.42913202,46.72687879,45.53847153,47.61907592,45.65421455,43.45047643,42.69026939,41.15103514,39.58731328,38.1072003,36.67220188,35.31655775,34.23756746,32.97168248,32.0849316,31.38577483,30.83312132,30.20617952,29.44056483,28.50515034,27.39574797,26.24101914,25.02335407,23.80184333,22.60047099,21.40931039,20.29168806,19.21773651,18.2062285,17.30315678,16.47030605,15.70677059,15.01918885,14.37867322,13.78123415,13.22362308,12.67720333,12.19380359,11.68844654,11.24989126
Latin America & Caribbean (all income levels),Latin America & Caribbean,,164.3234953,160.0168425,147.2791356,143.6171992,139.5898319,136.1012894,132.7134126,129.2813232,123.1789789,119.9057055,116.5169092,113.0717446,109.7274595,106.3881031,103.0114786,99.55346164,95.94843703,92.29818435,88.51555058,84.74961148,80.96713984,77.29898904,73.80496317,70.53068033,67.4505788,64.54268343,61.75636381,59.14694333,56.66717642,54.25259285,51.8772096,49.51441122,47.1758916,44.83832827,42.53132931,40.27091382,38.06852572,36.29887273,34.16070012,32.02789421,30.29136658,28.67111569,27.22671516,25.92239442,24.69931675,23.6600483,22.757849,21.92682748,21.17711889,23.66459432,19.86685619,19.30105439,18.77905121,18.35288218,17.96414403
Middle East & North Africa (all income levels),Middle East & North Africa,,,242.8286295,248.1250373,240.9775579,234.1756348,227.7518792,221.6047314,215.7083703,209.9084049,204.3528529,196.1497101,188.3824089,181.5763226,172.4453829,164.4223654,156.6952751,148.7026653,140.5890584,132.4661322,124.3382643,116.2684225,108.3183977,100.7257576,93.55666276,87.05039064,81.3950124,76.49472854,72.27942199,68.69206326,65.56980632,62.81164755,60.20089649,57.76752541,55.36395743,53.07689025,50.83418653,48.71883803,46.61526418,44.62620943,42.70137787,40.82794714,39.04552033,37.34185877,35.71541598,34.1859124,32.72303715,31.34808493,30.01054282,28.81514867,27.65279027,26.65987355,25.76379336,24.91854058,24.07603197,23.34026831
North America,North America,,29.70459768,29.05619926,28.4072489,27.74852743,27.1,26.36180082,25.63374232,24.806034,23.99711796,23.17854568,22.26883571,21.34925257,20.44818504,19.53748802,18.62681955,17.71647324,16.90666247,16.0975373,15.37959636,14.76259043,14.15585691,13.64952627,13.1433076,12.73700884,12.43037169,12.13209462,11.9242843,11.6249019,11.33405106,10.9431736,10.64378387,10.25382057,9.864526374,9.575860853,9.279265025,8.991719583,8.704220042,8.516369927,8.420057598,8.230769426,8.140323638,8.048774895,7.948703656,7.947748767,7.853662068,7.751256263,7.648365237,7.545232353,7.350368171,7.24756473,7.045215769,6.94344793,6.751100684,6.550721988,6.359728689
Sub-Saharan Africa (all income levels),Sub-Saharan Africa,,,,,,,260.2567391,257.267227,250.5159493,247.2913375,243.6699316,240.0776827,236.531161,232.6368281,222.5478006,218.4758,214.4887404,210.530588,206.5345165,204.0753232,201.3946356,198.2368847,195.3046595,192.687388,190.3978321,188.5117461,186.9440449,185.3381843,183.8226021,182.3524851,180.8993879,179.4445365,177.9532569,176.4884364,175.85833,173.2265513,169.904587,167.1223491,163.7761395,159.4514681,154.834546,149.7408647,144.2713028,138.6131724,132.8976178,127.2270404,121.7075897,116.3224997,111.1201358,106.162587,101.3962457,97.07518072,93.02238768,89.35777729,86.05960392,83.17997409
