CountryName,Total adult literacy rate,GNI per capita (US$) ,Breastfeeding at age 2 (%),Use of improved drinking water sources (%),Use of improved sanitation facilities (%),Skilled attendant at birth
The former Yugoslav Republic of Macedonia,98,4800,13,99,91,98
Timor-Leste,58,3580,33,70,39,29
Togo,60,530,64,61,11,59
Tonga,99,4490,30,99,91,98
Trinidad and Tobago,99,15760,22,_,92,100
Tunisia,80,4360,19,97,90,99
Turkey,95,10950,22,100,91,91
Turkmenistan,100,6880,27,71,99,97
Tuvalu,_,6630,51,98,83,98
Uganda,73,510,46,75,34,57
Ukraine,100,3960,22,98,94,99
United Arab Emirates,90,38620,_,100,98,100
United Kingdom,_,39110,_,100,100,_
United Republic of Tanzania,68,630,51,53,12,49
United States,_,53670,_,99,100,_
Uruguay,98,15180,_,99,96,100
Uzbekistan,99,1900,38,87,100,100
Vanuatu,83,3130,32,91,58,89
Venezuela (Bolivarian Republic of),96,12550,_,_,_,96
Viet Nam,94,1730,19,95,75,93
Yemen,66,1330,45,55,53,36
Zambia,61,1480,42,63,43,47
Zimbabwe,84,820,20,80,40,66
